gloss_input,english_input,filipino_output,origin,context_tag
TOMORROW SHE VISIT,Tomorrow she's going to see her.,Bukas bibisita siya.,FSL,time
YOU SEE TWO,You see two.,Nakikita mo ang dalawa.,FSL,number
TOMORROW WE EAT,Tomorrow we eat.,Bukas kakain tayo.,ASL,time
HE LITTLE TIRED,He is a little tired.,Medyo pagod siya.,FSL,emotion
YOU CLOSE DOOR,You close the door.,Isinasara mo ang pinto.,FSL,neutral
I PLAY FAMILY,I play with my family.,Naglalaro ako kasama ang aking pamilya.,FSL,action
YOU SCARED,You are scared.,Takot ka.,FSL,emotion
PLEASE YOU HELP,Please help me.,Pakiusap tumulong.,FSL,imperative
FORGET THIS,Forget this.,Kalimutan mo ito.,FSL,imperative
I WANT MORE FOOD,I want more food.,Gusto ko ng mas maraming pagkain.,FSL,number
HE PLAY,He's playing.,Naglalaro siya.,FSL,action
WALK WE NEED,We have to go.,Kailangan nating maglakad.,ASL,action
GO,Go there.,Pumunta ka doon.,FSL,common_verbs
SHOW ME,Show me.,Ipakita mo sa akin.,FSL,imperative
I RUN YESTERDAY,I ran yesterday.,Tumakbo ako kahapon.,FSL,action
HE WORK TOMORROW,He works tomorrow.,Magtatrabaho siya bukas.,FSL,time
SHE OUTSIDE HOUSE,She is outside the house.,Nasa labas siya ng bahay.,FSL,place
YOU LIKE PURPLE THING,You like purple things.,Gusto mo ng lila na bagay.,FSL,color
NICE YOU,You are nice.,Mabait ka.,ASL,greeting
YELLOW PHONE,Yellow phone.,Dilaw na telepono.,MIXED,color
YOU HAVE GOOD FAMILY,You have a good family.,Mayroon kang mabuting pamilya.,FSL,people
YOU LIKE STORE,You like the place.,Gusto mo ang tindahan.,FSL,place
WALK WE,We walk.,Naglalakad tayo.,ASL,action
I CALL MOTHER,I'll call my mother.,Tumatawag ako sa aking ina.,FSL,people
ORANGE,Orange.,Kahel.,MIXED,color
GOODBYE YOU TOMORROW,See you tomorrow.,Kita tayo bukas.,ASL,greeting
HE KNOW SOMETHING,He knows something.,Alam niya ang isang bagay.,FSL,neutral
I FEEL COLD,I feel cold.,Ginginaw ako.,FSL,neutral
YOU PARK CAR,You park the car.,Pinaparada mo ang kotse.,FSL,neutral
HE GO WHERE,Where's he going?,Saan siya pupunta?,ASL,question
YOU NEED WHAT,What do you need?,Ano ang kailangan mo?,ASL,question
YOU MEET SIX PEOPLE,You're meeting six people.,Nakikita mo ang anim na tao.,FSL,number
I NEED YOU FRIEND,"I need you, friend.",Kailangan kita kaibigan.,ASL,common_verbs
SHE PLAY GAME,She plays a game.,Naglalaro siya ng laro.,FSL,action
NO BAD,"No, that's bad.",Hindi masama iyan.,MIXED,common_verbs
HE NO LONGER TIRED,He is no longer tired.,Hindi na siya pagod.,FSL,emotion
SHE EAT MORNING,She eats in the morning.,Kumakain siya sa umaga.,FSL,time
HE WAIT FAMILY,He waits for his family.,Hinihintay niya ang kanyang pamilya.,FSL,people
YOU MAY COME SCHOOL,You can come to school.,Maaaring pumunta ka sa paaralan.,FSL,place
I FEEL GOOD,I feel good.,Maganda ang pakiramdam ko.,FSL,neutral
HE SAD,He's sad.,Malungkot siya.,FSL,emotion
SHE TIRED WALK,She's tired of walking.,Pagod siya sa paglalakad.,FSL,action
I IMPROVE,I'm improving.,Bumubuti ako.,FSL,neutral
YOU VISIT,You visit.,Bumibisita ka.,FSL,neutral
YOU HAVE CAR,You have a car.,Mayroon kang kotse.,FSL,object_things
I WEAR RED TODAY,I wear red today.,Sumusuot ako ng pula ngayon.,FSL,color
HE GO WORK,He goes to work.,Pupunta siya sa trabaho.,FSL,place
THEY RUN FARM,They're running on the farm.,Tumatakbo sila sa bukid.,FSL,action
HE EAT,He is eating.,Kumakain siya.,FSL,common_verbs
YOU LIKE STORE,You like the store.,Gusto mo ang tindahan.,FSL,place
HE MOST TIRED,He's the most tired.,Siya ang pinakapagod.,FSL,emotion
HE SEE MOTHER,He sees his mother.,Nakikita niya ang kanyang ina.,FSL,people
WE GO HOME,We're going home.,Uuwi tayo.,FSL,place
HE ANGRY,He is angry.,Galit siya.,FSL,emotion
YOU DECIDE,You decide.,Nagpapasya ka.,FSL,neutral
SHE TIRED NO EXCITED,"She's tired, not excited.",Pagod siya hindi nasasabik.,MIXED,emotion
HOW FOOD YOU COOK,How do you cook the food?,Paano mo niluluto ang pagkain?,FSL,question
I MESSAGE YOU,I'll tell you.,Nagmemensahe ako sa iyo.,FSL,neutral
YOU LIKE WALK,You like to go.,Gusto mong maglakad.,FSL,action
YOU LEAVE WORK,You're leaving work.,Umaalis ka sa trabaho.,FSL,place
I PAINT RED,I paint red.,Nagpipinta ako ng pula.,FSL,color
SHE TALK,She talks.,Nakikipag-usap siya.,FSL,neutral
WE FEEL EXCITED,We feel excited.,Nakakaramdam tayo ng sabik.,FSL,emotion
I FREE,I am free.,Libre ako.,FSL,neutral
TOMORROW SHE TIRED,Tomorrow she will be tired.,Pagod siya bukas.,ASL,emotion
PLEASE STOP,Please stop.,Pakiusap tumigil.,FSL,imperative
FARM,Farm.,Bukid.,MIXED,place
SORRY ME,I'm sorry.,Pasensya na ako.,FSL,greeting
TOMORROW AFTERNOON YOU COME,Tomorrow afternoon you come.,Bukas ng hapon darating ka.,ASL,time
WHAT MAKE YOU HAPPY,What makes you happy?,Ano ang nagpapasaya sa iyo?,FSL,question
WHAT HE EAT,What's he eating?,Ano ang kinakain niya?,FSL,question
I CAN READ,I can read.,Makakabasa ako.,FSL,action
YOU STOP NOW,You're quitting now.,Tumigil ka ngayon.,ASL,imperative
WE WORK AFTERNOON,We work in the afternoon.,Nagtatrabaho tayo sa hapon.,FSL,time
THEY LIKE RUN,You like running.,Gusto nilang tumakbo.,FSL,action
I LIKE CAR,I like cars.,Gusto ko ng kotse.,FSL,object_things
MAYBE YOU COME,Maybe you're coming.,Baka dumating ka.,FSL,time
NO I NO HELP,"No, I'm not gonna help.",Hindi ako tutulong.,MIXED,common_verbs
I PLAY FRIEND,I play with my friend.,Naglalaro ako kasama ang aking kaibigan.,FSL,action
MORNING SHE STUDY,She learns in the morning.,Sa umaga nag-aaral siya.,FSL,time
I BUSY,I am busy.,Abala ako.,FSL,neutral
YOU RUN TOMORROW FAST,You're gonna run fast tomorrow.,Tatakbo kang mabilis bukas.,FSL,action
PLEASE WAIT,Please wait.,Pakiusap maghintay.,FSL,imperative
YOU NO UNDERSTAND,You don't understand.,Hindi mo naiintindihan.,FSL,neutral
YOU HAPPY,You are happy.,Masaya ka.,FSL,emotion
I SURE,I am sure.,Sigurado ako.,FSL,neutral
YOU GO WHERE TODAY,Where are you going today?,Saan ka pupunta ngayon?,ASL,question
YOU NO LONGER SAD,You're not sad anymore.,Hindi ka na malungkot.,FSL,emotion
I TEXT FRIEND,I text my friend.,Nagtetext ako sa aking kaibigan.,FSL,neutral
HE STILL SLEEP,He's still asleep.,Natutulog pa rin siya.,FSL,time
I HAPPY HOME,I'm happy at home.,Masaya ako sa bahay.,FSL,place
I NEED GO HOME NOW,I need to go home now.,Kailangan kong umuwi ngayon.,FSL,place
SHE LIKE BLUE,She likes blue.,Gusto niya ng asul.,FSL,color
WE WALK HOME AFTERNOON,We'll go home in the afternoon.,Naglalakad tayo pauwi sa hapon.,FSL,common_verbs
HE SLEEP,He sleeps.,Natutulog siya.,FSL,action
SHE STUDY,She studies.,Nag-aaral siya.,FSL,neutral
THEY PLAY TODAY,They're playing today.,Naglalaro sila ngayon.,FSL,time
HELP ME,Help me.,Tulungan mo ako.,FSL,imperative
I STUDY SCHOOL,I'm studying at school.,Nag-aaral ako sa paaralan.,FSL,place
YOU SLEEP TODAY,You're sleeping today.,Natutulog ka ngayon.,FSL,action
HE SOON ARRIVE,He'll be here soon.,Darating siya mamaya.,FSL,time
YOU LIKE WHAT COLOR,What color do you like?,Anong kulay ang gusto mo?,ASL,question
I HAPPY TODAY,I'm happy today.,Masaya ako ngayon.,FSL,emotion
YOU STUDY HARD SCHOOL TODAY,You study hard at school today.,Nag-aaral kang mabuti sa paaralan ngayon.,FSL,action
YOU BUY PHONE,You're buying a phone.,Bumibili ka ng telepono.,FSL,object_things
THEY WANT WHITE HOUSE,They want a white house.,Gusto nila ng puting bahay.,FSL,color
THANKYOU MOTHER FATHER,"Thank you, Mom and Dad.",Salamat ina at ama.,FSL,greeting
HE LIKE SHE HELP HE,He likes her to help him.,Gusto niyang tulungan siya nito.,FSL,common_verbs
HE CALL HIS FRIEND,He calls his friend.,Tumatawag siya sa kanyang kaibigan.,FSL,people
THEY STAY FARM,You stay on the farm.,Nananatili sila sa bukid.,FSL,place
I FEEL HUNGRY,I feel hungry.,Gutom ako.,FSL,neutral
SHE NEED WATER,She needs water.,Kailangan niya ng tubig.,FSL,object_things
YOU FEEL HOW,How do you feel?,Paano ang pakiramdam mo?,ASL,question
THEY FIND WATER,They'll find water.,Nakahanap sila ng tubig.,FSL,object_things
WHAT YOU EAT,What do you eat?,Ano ang kinakain mo?,FSL,question
I TEACH,I'm teaching.,Nagtuturo ako.,FSL,neutral
WE TIRED WORK,We're tired at work.,Pagod tayo sa trabaho.,FSL,place
YOU SEE FOOD,You see food.,Nakikita mo ang pagkain.,FSL,object_things
I PLAY YESTERDAY HAPPY,I played happily yesterday.,Naglaro akong masaya kahapon.,FSL,action
YOU NO LONGER SAD,You are no longer sad.,Hindi ka na malungkot.,FSL,emotion
WHAT BOOK YOU READ,What book are you reading?,Anong libro ang binabasa mo?,FSL,question
WHITE THEY LIKE,You like white.,Gusto nila ng puti.,ASL,color
NIGHT THEY SLEEP,They sleep at night.,Natutulog sila sa gabi.,ASL,common_verbs
I TELL TRUTH,I tell the truth.,Sinasabi ko ang totoo.,FSL,neutral
I SEE MOTHER,I see my mother.,Nakikita ko ang aking ina.,FSL,people
HE LIKE THREE,He likes three.,Gusto niya ng tatlo.,FSL,number
YOU STILL WORK,You're still working.,Nagtatrabaho ka pa rin.,FSL,time
TODAY THEY BUSY,Today they are busy.,Abala sila ngayon.,FSL,time
SHE READ,She is reading.,Nagbabasa siya.,FSL,common_verbs
YOU USE PHONE,You use a phone.,Gumagamit ka ng telepono.,FSL,object_things
I ASK,I ask.,Nagtanong ako.,FSL,neutral
SHE DRINK WATER MORNING,She drinks water in the morning.,Umiinom siya ng tubig sa umaga.,FSL,common_verbs
HE HAVE FOUR,He's got four.,Mayroon siyang apat.,FSL,number
I TAKE BOOK,I take the book.,Kinukuha ko ang libro.,FSL,neutral
SHE LIKE SCHOOL,She likes school.,Gusto niya ang paaralan.,FSL,place
YOU CHOOSE,You choose.,Pumipili ka.,FSL,neutral
I SLEEP NIGHT,I sleep at night.,Natutulog ako sa gabi.,FSL,action
GOODBYE,Goodbye.,Paalam.,FSL,greeting
YOU DESCRIBE,You describe.,Inilalarawan mo.,FSL,neutral
HE GO TODAY MORNING,He's leaving this morning.,Pumupunta siya ngayong umaga.,FSL,time
YOU HELP FATHER WORK FARM,You help your father work on the farm.,Tinutulungan mo ang iyong ama magtrabaho sa bukid.,FSL,people
DRINK THIS,Drink this.,Inumin mo ito.,FSL,imperative
BOOK I READ,I read a book.,Nagbabasa ako ng libro.,ASL,object_things
YOU BREAK PROMISE,You're breaking your promise.,Sinisira mo ang iyong pangako.,FSL,neutral
I FEEL HOT,I feel hot.,Naiinitan ako.,FSL,neutral
I EAT,I'm eating.,Kumakain ako.,FSL,common_verbs
I PLAY RUN HOME,I play and run home.,Naglalaro at tumatakbo ako sa bahay.,FSL,action
GOODBYE MOTHER FATHER,"Goodbye, Mom and Dad.",Paalam ina at ama.,FSL,greeting
MY MOTHER GOOD,My mother's good.,Mabuti ang aking ina.,ASL,people
NIGHT HE WORK,At night he works.,Sa gabi nagtatrabaho siya.,FSL,time
YOU HAVE FEW CAR,You have few cars.,Mayroon kang kaunting kotse.,FSL,number
I WORK HOME,I work from home.,Nagtatrabaho ako sa bahay.,FSL,place
SHE TALK,She's talking.,Nakikipag-usap siya.,FSL,neutral
HE HAVE PHONE,He has a phone.,Mayroon siyang telepono.,FSL,object_things
WE EAT TODAY,We eat today.,Kumakain tayo ngayon.,FSL,time
I CHANGE,I change.,Nagbabago ako.,FSL,neutral
I MIGHT GO TOMORROW,I could leave tomorrow.,Baka pumunta ako bukas.,FSL,time
AFTERNOON GOOD,Have a good afternoon.,Magandang hapon sa iyo.,ASL,greeting
I LIKE PHONE,I like phones.,Gusto ko ng telepono.,FSL,object_things
I WIN,I win.,Nanalo ako.,FSL,neutral
PLEASE SIT,Please sit down.,Pakiusap umupo.,FSL,imperative
FIVE WE WANT,We want five.,Gusto natin ng lima.,ASL,number
YESTERDAY HE WORK,Yesterday he worked.,Kahapon nagtrabaho siya.,ASL,time
YOU MUST GO,You must go.,Dapat kang umalis.,FSL,imperative
HE ARRIVE,He's coming.,Dumarating siya.,FSL,neutral
YOU DO YOUR BEST,You're doing your best.,Ginagawa mo ang iyong best.,FSL,neutral
YOU USE PHONE,You use your phone.,Ginagamit mo ang iyong telepono.,FSL,neutral
YOU SEND,You're sending.,Nagpapadala ka.,FSL,neutral
YOU FEEL SICK,You're feeling sick.,Masama ang pakiramdam mo.,FSL,neutral
YOU GET,You get.,Nakukuha mo.,FSL,neutral
YOU WIN,You win.,Nanalo ka.,FSL,neutral
I MEAN IT,I'm serious.,Seryoso ako.,FSL,neutral
YOU WALK WHERE,Where are you going?,Saan ka naglalakad?,ASL,question
I BELIEVE,I believe.,Naniniwala ako.,FSL,neutral
I ALREADY HOME,I'm home already.,Nasa bahay na ako.,FSL,place
I SEE BOOK,I see a book.,Nakikita ko ang libro.,FSL,object_things
HE LIVE NEAR WORK,He lives near work.,Nakatira siya malapit sa trabaho.,FSL,place
NO BAD,No that's bad.,Hindi masama iyan.,MIXED,common_verbs
YOU SEND,You send.,Nagpapadala ka.,FSL,neutral
OPEN THIS,Open this.,Buksan mo ito.,FSL,imperative
HE HAPPY,He's happy.,Masaya siya.,FSL,emotion
THEY RUN FARM,They run at the farm.,Tumatakbo sila sa bukid.,FSL,action
I MORE HAPPY NOW,I'm happier now.,Mas masaya ako ngayon.,FSL,emotion
MY MOTHER LOVE ME,My mother loves me.,Mahal ako ng aking ina.,ASL,people
SHE STUDY WHAT,What does she study?,Ano ang pinag-aaralan niya?,ASL,question
WHO THEY VISIT,Who are they visiting?,Sino ang binibisita nila?,FSL,question
THEY WORK TOMORROW AFTERNOON,You'll be working tomorrow afternoon.,Magtatrabaho sila bukas ng hapon.,FSL,time
WE GOOD FRIEND,We are good friends.,Mabuting mga kaibigan tayo.,ASL,common_verbs
HE WEAR BLACK YESTERDAY,He wore black yesterday.,Sumuot siya ng itim kahapon.,FSL,color
SHE COME TODAY AFTERNOON,She's coming this afternoon.,Darating siya ngayong hapon.,FSL,time
I SPEAK,I'm speaking.,Nagsasalita ako.,FSL,neutral
YOU WEAR BLUE,You wear blue.,Sumusuot ka ng asul.,FSL,neutral
BAD HE,He's bad.,Masama siya.,ASL,common_verbs
YESTERDAY THEY WRITE,Yesterday they wrote.,Kahapon sumulat sila.,ASL,action
I COME TOMORROW AFTERNOON,I come tomorrow afternoon.,Darating ako bukas ng hapon.,FSL,time
YOU EXCITED,You're excited.,Nasasabik ka.,FSL,emotion
HE TIRED,He is tired.,Pagod siya.,FSL,emotion
I WANT WATER,I want water.,Gusto ko ng tubig.,FSL,common_verbs
HE QUESTION IT,He's questioning it.,Tinatanong niya ito.,FSL,neutral
WHO YOU MEET TODAY,Who are you seeing today?,Sino ang makikita mo ngayon?,FSL,question
TODAY YOU SAD,Today you're sad.,Malungkot ka ngayon.,ASL,emotion
YOU REST YESTERDAY NIGHT,You rested last night.,Nagpahinga ka kagabi.,FSL,time
SHE LEAVE SCHOOL,She's leaving school.,Umaalis siya sa paaralan.,FSL,place
I TRUST YOU,I trust you.,Nagtitiwala ako sa iyo.,FSL,neutral
I SLEEP TOMORROW NIGHT,I'll sleep tomorrow night.,Matutulog ako bukas ng gabi.,FSL,time
I DO,I do it.,Ginagawa ko.,FSL,neutral
SHE MISS FATHER,She misses her father.,Miss niya ang kanyang ama.,FSL,people
SHE BUY WATER,She buys water.,Bumibili siya ng tubig.,FSL,object_things
FRIEND HE LOVE,He loves his friend.,Mahal niya ang kanyang kaibigan.,ASL,people
I STOP READ,I'm quitting reading.,Tumitigil akong magbasa.,FSL,action
I HAVE ONE,I have one.,Mayroon akong isa.,FSL,number
HE CALL FATHER TODAY,He's calling his father today.,Tumatawag siya sa kanyang ama ngayon.,FSL,people
ONE BOOK,One book.,Isang libro.,MIXED,number
HE GO FROM WORK,He's leaving work.,Umalis siya sa trabaho.,FSL,place
MORNING I WAKE,In the morning I wake up.,Sa umaga gumigising ako.,ASL,time
THEY RUN YESTERDAY,They ran yesterday.,Tumakbo sila kahapon.,FSL,action
THEY HAVE SEVEN,They have seven.,Mayroon silang pito.,FSL,number
WE MEET TODAY NIGHT,I'll meet you tonight.,Magkikita tayo ngayong gabi.,FSL,time
LOOK ME,Look at me.,Tingnan mo ako.,FSL,imperative
WE GO STORE AFTERNOON,We'll go to the store in the afternoon.,Pupunta tayo sa tindahan sa hapon.,FSL,time
I GO HOME TOMORROW MORNING HAPPY,I'll be happy to go home in the morning.,Uuwi ako bukas ng umaga nang masaya.,FSL,time
FRIEND FAMILY YOU LOVE,You love your friends and family.,Mahal mo ang iyong mga kaibigan at pamilya.,ASL,people
HOW LONG YOU WAIT,How long are you waiting?,Gaano katagal ka naghihintay?,FSL,question
THEY SEE WHITE HOUSE,You see a white house.,Nakikita nila ang puting bahay.,FSL,color
I LIKE BLUE,I like blue.,Gusto ko ng asul.,FSL,color
NO HE NO HELP,"No, he's not gonna help.",Hindi siya tutulong.,FSL,common_verbs
HE FREE,He is free.,Libre siya.,FSL,neutral
WHERE CAR YOU GO,Where are you going with the car?,Saan ka pupunta sa kotse?,FSL,question
WHITE,White.,Puti.,MIXED,color
SHE HELP FRIEND,She's helping her boyfriend.,Tinutulungan niya ang kanyang kaibigan.,FSL,people
I SHOW,I show.,Ipinapakita ko.,FSL,neutral
I READ,I'm reading.,Nagbabasa ako.,FSL,common_verbs
I PLAY FRIEND HOME HAPPY,I play with my friend at home happily.,Naglalaro ako kasama ang aking kaibigan sa bahay nang masaya.,FSL,people
I START READ,I'm starting to read.,Nagsisimula akong magbasa.,FSL,action
HE TOO TIRED,He's too tired.,Sobrang pagod niya.,FSL,emotion
I LOVE YOU MOTHER,I love you mother.,Mahal kita ina.,ASL,common_verbs
EXCITED,I am excited.,Nasasabik ako.,MIXED,emotion
HE GO HOME,He goes home.,Uuwi siya.,FSL,place
YOU EAT FOOD,You eat food.,Kumakain ka ng pagkain.,FSL,common_verbs
I WORRY YOU,I'm worried about you.,Nag-aalala ako sa iyo.,FSL,neutral
I IMPROVE,I improve.,Bumubuti ako.,FSL,neutral
I TURN ON PHONE,I turn on the phone.,Binubukas ko ang telepono.,FSL,neutral
WE HELP THEY,We'll help them.,Tinutulungan natin sila.,ASL,common_verbs
YOU PAINT BLUE,You paint blue.,Nagpipinta ka ng asul.,FSL,color
THEY PLAY YESTERDAY,You played yesterday.,Naglaro sila kahapon.,FSL,time
YOU EXCITED ABOUT IT,You are excited about it.,Nasasabik ka tungkol dito.,FSL,emotion
YOU STAY WORK,You stay at work.,Nananatili ka sa trabaho.,FSL,place
I CAN PLAY,I can play.,Makakapaglaro ako.,FSL,action
WAIT ME,Wait for me.,Hintayin mo ako.,FSL,imperative
I WALK,I'm leaving.,Naglalakad ako.,FSL,common_verbs
THEY FEEL SCARED,You're scared.,Nakakaramdam sila ng takot.,FSL,emotion
SEVEN,Seven.,Pito.,MIXED,number
HIS FRIEND CALL HE,His friend calls him.,Tumatawag sa kanya ang kanyang kaibigan.,ASL,people
I HAVE ONE FRIEND,I have one friend.,Mayroon akong isang kaibigan.,FSL,number
TOMORROW SHE TIRED,Tomorrow she's tired.,Pagod siya bukas.,ASL,emotion
HOUSE,A house.,Isang bahay.,MIXED,object_things
YOU NEED WALK,You need to walk.,Kailangan mong maglakad.,FSL,action
I BELIEVE,I think so.,Naniniwala ako.,FSL,neutral
I LIKE RED BLUE,I like red and blue.,Gusto ko ng pula at asul.,FSL,color
HE JUST ARRIVE WORK,He just got to work.,Dumating lang siya sa trabaho.,FSL,place
WE EAT TOMORROW,We will eat tomorrow.,Kakain tayo bukas.,FSL,time
WHAT TIME WE MEET,When do we meet?,Anong oras tayo magkikita?,FSL,question
AFTERNOON YOU REST,Rest in the afternoon.,Sa hapon nagpapahinga ka.,FSL,time
YOU SEE BLUE HOUSE,You see a blue house.,Nakikita mo ang asul na bahay.,FSL,color
YOU WALK WITH MOTHER,You're going with your mother.,Naglalakad ka kasama ang iyong ina.,FSL,people
I GO WORK TODAY,I'm going to work today.,Pupunta ako sa trabaho ngayon.,FSL,common_verbs
ANGRY,I am angry.,Galit ako.,MIXED,emotion
I SHOULD GO WORK NOW,I should go to work now.,Dapat akong pumunta sa trabaho ngayon.,FSL,place
I LOVE FRIEND,I love my friend.,Mahal ko ang aking kaibigan.,FSL,people
SHE HAVE YELLOW PHONE,She has a yellow phone.,Mayroon siyang dilaw na telepono.,FSL,color
NIGHT YOU SLEEP,You sleep at night.,Sa gabi natutulog ka.,FSL,time
I LITTLE HAPPY,I'm a little happy.,Medyo masaya ako.,FSL,emotion
I TALK FRIEND,I talk to my friend.,Nakikipag-usap ako sa aking kaibigan.,FSL,neutral
I FINISH,I'm done.,Natapos ako.,FSL,neutral
YESTERDAY THEY RUN,Yesterday they ran.,Kahapon tumakbo sila.,FSL,time
TODAY WE FREE,Today we're free.,Libre tayo ngayon.,FSL,time
WHAT THEY SAY,What do they say?,Ano ang sinasabi nila?,FSL,question
SHE UNDERSTAND,She understands.,Naiintindihan niya.,FSL,neutral
YOU MEET,You're meeting.,Nakikipagkita ka.,FSL,neutral
SHE GO FARM,She's going to the farm.,Pupunta siya sa bukid.,FSL,place
SHE COUNT NINE TEN,She counts nine ten.,Binibilang niya siyam sampu.,FSL,number
YOU SEE FAMILY,You see your family.,Nakikita mo ang iyong pamilya.,FSL,people
ANGRY HE,He is angry.,Galit siya.,ASL,emotion
HE LIKE WATER,He likes water.,Gusto niya ng tubig.,FSL,object_things
YOU SLEEP WHEN,When are you going to sleep?,Kailan ka natutulog?,ASL,question
YESTERDAY HE ANGRY,Yesterday he was angry.,Galit siya kahapon.,ASL,emotion
YOU FORGIVE ME,You forgive me.,Pinapatawad mo ako.,FSL,neutral
YOU SAD TODAY,You're sad today.,Malungkot ka ngayon.,FSL,emotion
I EAT,I am eating.,Kumakain ako.,FSL,common_verbs
FOOD,Food.,Pagkain.,MIXED,object_things
SHE NEED FOOD,She needs food.,Kailangan niya ng pagkain.,FSL,object_things
YOU RETURN,You're going back.,Bumabalik ka.,FSL,neutral
YOU MESSAGE ME,You sent me a message.,Nagmemensahe ka sa akin.,FSL,neutral
YOU MEETgloss_input,english_input,filipino_output,origin,context_tag
YOU STUDY SCHOOL,You study at school.,Nag-aaral ka sa paaralan.,FSL,place
HE WORK TODAY,He works today.,Nagtatrabaho siya ngayon.,FSL,time
I SLEEP TOMORROW NIGHT,I sleep tomorrow night.,Matutulog ako bukas ng gabi.,FSL,time
YOU STILL WORK,You are still working.,Nagtatrabaho ka pa rin.,FSL,time
I WANT YOU STAY,I want you to stay.,Gusto kitang manatili.,FSL,imperative
YOU RUN,You're running away.,Tumatakbo ka.,FSL,common_verbs
I GO WORK,I go to work.,Pupunta ako sa trabaho.,FSL,place
WATER THEY DRINK,They drink water.,Umiinom sila ng tubig.,ASL,object_things
I BUY ONE BOOK,I'll buy a book.,Bumibili ako ng isang libro.,FSL,number
MORNING SHE TIRED,She's tired in the morning.,Pagod siya sa umaga.,ASL,time
THANKYOU YOU HELP,Thank you for helping.,Salamat sa tulong mo.,FSL,greeting
I MIGHT GO TOMORROW,I might go tomorrow.,Baka pumunta ako bukas.,FSL,time
HE KNOW,He knows.,Alam niya.,FSL,neutral
I WITH MOTHER,I am with my mother.,Kasama ko ang aking ina.,FSL,people
YOU FEEL HUNGRY,You feel hungry.,Gutom ka.,FSL,neutral
HOW YOU BECOME HAPPY,How are you gonna be happy?,Paano ka nagiging masaya?,FSL,question
I NO NEED,I don't need anything.,Hindi ko kailangan.,FSL,neutral
HOME I HAPPY,I'm happy at home.,Masaya ako sa bahay.,ASL,place
I BUILD,I build.,Bumubuo ako.,FSL,neutral
SHE COME HOME TOMORROW,She's coming home tomorrow.,Uuwi siya bukas.,FSL,time
HE DREAM ABOUT SHE,He dreams about her.,Napapanaginipan niya siya.,FSL,neutral
FARM WE GO,We're going to the farm.,Pupunta tayo sa bukid.,ASL,place
GOOD AFTERNOON,Hello.,Magandang hapon.,FSL,greeting
HE WALK NEAR STORE,He walks near the store.,Naglalakad siya malapit sa tindahan.,FSL,place
I STAY SCHOOL,I'll stay at school.,Nananatili ako sa paaralan.,FSL,place
I LEARN,I'm learning.,Natututo ako.,FSL,neutral
I NO HAPPY,I'm not happy.,Hindi ako masaya.,FSL,emotion
YOU WAIT FRIEND,Wait for your friend.,Hinihintay mo ang iyong kaibigan.,FSL,people
STOP YOU,Stop what you're doing.,Tigilan mo yan.,ASL,imperative
TODAY SHE SCHOOL,Today she is at school.,Nasa paaralan siya ngayon.,FSL,time
YOU READ BOOK,You read a book.,Nagbabasa ka ng libro.,FSL,object_things
I MEET FRIEND TOMORROW HOME,I will meet my friend tomorrow at home.,Makikita ko ang aking kaibigan bukas sa bahay.,FSL,people
SHE HAVE OLD HOUSE,She has an old house.,Mayroon siyang lumang bahay.,FSL,place
I GO SCHOOL,I go to school.,Pupunta ako sa paaralan.,FSL,place
WHAT TIME THEY COME,When are they coming?,Anong oras sila darating?,FSL,question
THEY SEE SIX,You see six.,Nakikita nila ang anim.,FSL,number
READ YOU LIKE,You like reading.,Gusto mong magbasa.,ASL,action
YOU LIKE BLACK,You like black.,Gusto mo ng itim.,FSL,color
I WRITE,I write.,Sumusulat ako.,FSL,action
I HAVE BOOK,I have a book.,Mayroon akong libro.,FSL,object_things
YOU FEEL COLD,You feel cold.,Ginginaw ka.,FSL,neutral
YOU FAR SCHOOL,You're a long way from school.,Malayo ka sa paaralan.,FSL,place
I GET,I see.,Nakukuha ko.,FSL,neutral
WE LIKE WORK,We like work.,Gusto natin ang trabaho.,FSL,place
I SELL,I sell.,Nagbebenta ako.,FSL,neutral
YOU SAFE AT HOME,You are safe at home.,Ligtas ka sa bahay.,FSL,place
YOU LIKE FATHER,You like your father.,Gusto mo ang iyong ama.,FSL,people
YOU TRY HARD,You try hard.,Sinusubukan mong mabuti.,FSL,neutral
WE RUN WHY,Why are we running?,Bakit tayo tumatakbo?,ASL,question
SAD YOU,You're sad.,Malungkot ka.,ASL,emotion
HE HAVE NEW HOUSE,He's got a new house.,Mayroon siyang bagong bahay.,FSL,place
HE GO HOME,He's going home.,Uuwi siya.,FSL,place
YOU CARE ABOUT ME,You're interested in me.,Mahalaga ako sa iyo.,FSL,neutral
WE LOVE OUR FAMILY,We love our family.,Mahal natin ang ating pamilya.,FSL,people
I PLAY YOU,I'll play with you.,Naglalaro ako kasama ka.,FSL,action
SHE,She.,Siya.,MIXED,people
I WONDER ABOUT IT,I wonder if that's the case.,Nag-iisip ako tungkol dito.,FSL,neutral
THEY GO STORE,They're going to the store.,Pupunta sila sa tindahan.,FSL,place
YOU GO HOME,Go home.,Uuwi ka.,FSL,place
YOU STAY STORE,You stay in the store.,Nananatili ka sa tindahan.,FSL,place
I TRY HARD,I'm trying.,Sinusubukan kong mabuti.,FSL,neutral
HE NOT GIVE UP,He won't give up.,Hindi siya susuko.,FSL,neutral
TODAY THEY BUSY,They're busy today.,Abala sila ngayon.,FSL,time
